Inbounding Date,G Printers,ClearTapes,BrandedTapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck
5/1/2024,6,10,2,55,35,23,21,12,796,16,131
2024-05-06,0,5,0,100,99,0,0,0,698,0,0
2024-05-10,5,9,0,100,100,0,49,0,999,50,396
2024-05-16,0,6,0,0,0,0,0,0,0,0,0
2024-05-21,5,0,0,25,25,0,0,0,600,0,0
2024-05-27,0,6,0,50,50,0,25,0,599,0,0
