Inbounding Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck
1/1/2024,3,0,1,11,36,10,1,7,42,47,183
2024-01-02,2,10,0,25,0,0,0,0,1000,0,0
2024-01-06,3,4,0,75,25,50,25,10,1000,0,0
2024-01-16,5,0,0,100,99,0,0,0,1000,0,0
2024-01-16,0,0,0,0,0,0,0,0,0,0,400
2024-01-23,5,10,0,25,0,0,0,25,1000,0,0
2024-01-29,0,0,1,50,0,0,25,0,799,0,0
