Inbounding Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),Plastic Bags (Large),50KGS Suck
8/2/2023,5,2,1,50,142,111,123,76,1800,300,133
8/10/2023,0,15,0,75,0,0,0,0,0,0,0
2023-08-12,0,0,0,0,9,0,0,0,0,0,19
2023-08-16,5,0,0,0,0,0,0,0,500,0,0
2023-08-18,0,0,0,0,0,0,0,0,0,79,0
2023-08-21,0,0,0,0,0,0,0,0,0,0,20
2023-08-22,0,0,0,0,0,0,0,0,500,0,30
2023-08-24,0,0,0,24,0,0,0,0,0,0,0
2023-08-28,5,15,0,0,0,0,0,0,500,0,100
