Inbounding Date,G Printers,ClearTapes,BrandedTapes,Plastic Bags (Small),Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck
8/1/2024,5,5,2,100,17,37,1,489,35,108
2024-08-05,5,10,0,300,0,0,0,1000,0,0
2024-08-06,0,0,0,0,0,0,0,0,0,400
2024-08-05,5,15,0,300,0,0,0,1200,0,0
2024-08-19,5,15,0,0,25,50,0,1500,0,0
2024-08-26,5,0,0,300,0,0,10,1000,0,0
